display_role,csv_line,statistic,setting,task,family,interval_method,replicate_count,cluster_unit,interval_type,estimate,lower,upper,unit,max_T_critical,bootstrap_sd,seed,source_path,source_key
bivariate_horizontal_interval,21.0,A_Z_given_K,cold_month,fuel,F_cold_month,max-T,2000.0,VehId,simultaneous,0.20484428659642973,0.010817054708079699,0.39887151848477975,mL/segment,2.424230903817816,0.08003661350195024,3089379780.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=cold_month;statistic=A_Z_given_K
bivariate_vertical_interval,44.0,G_RPM_given_K,cold_month,rpm,rpm_three_core,cluster-bootstrap percentile,2000.0,VehId,Bonferroni,3.795585111957891,-0.3959514380082469,10.70962939549952,rpm,,,610232594.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=cold_month;statistic=G_RPM_given_K
sequential_share,,kinematic_share,cold_trip,,,,,,descriptive,0.6068461768371034,,,fraction,,,,data/energy/figure_data/figure05/RETENTION_SHARES.json,setting=cold_trip;field=kinematic_share
sequential_share,,rpm_share,cold_trip,,,,,,descriptive,0.12981543203931661,,,fraction,,,,data/energy/figure_data/figure05/RETENTION_SHARES.json,setting=cold_trip;field=rpm_share
sequential_share,,remaining_share,cold_trip,,,,,,descriptive,0.26333839112357993,,,fraction,,,,data/energy/figure_data/figure05/RETENTION_SHARES.json,setting=cold_trip;field=remaining_share
sequential_share,,kinematic_share,unseen_vehicle,,,,,,descriptive,0.863364172478918,,,fraction,,,,data/energy/figure_data/figure05/RETENTION_SHARES.json,setting=unseen_vehicle;field=kinematic_share
sequential_share,,rpm_share,unseen_vehicle,,,,,,descriptive,0.10724371330734138,,,fraction,,,,data/energy/figure_data/figure05/RETENTION_SHARES.json,setting=unseen_vehicle;field=rpm_share
sequential_share,,remaining_share,unseen_vehicle,,,,,,descriptive,0.029392114213740668,,,fraction,,,,data/energy/figure_data/figure05/RETENTION_SHARES.json,setting=unseen_vehicle;field=remaining_share
sequential_share,,kinematic_share,cold_month,,,,,,descriptive,0.6244554500356586,,,fraction,,,,data/energy/figure_data/figure05/RETENTION_SHARES.json,setting=cold_month;field=kinematic_share
sequential_share,,rpm_share,cold_month,,,,,,descriptive,0.14110740859073356,,,fraction,,,,data/energy/figure_data/figure05/RETENTION_SHARES.json,setting=cold_month;field=rpm_share
sequential_share,,remaining_share,cold_month,,,,,,descriptive,0.23443714137360777,,,fraction,,,,data/energy/figure_data/figure05/RETENTION_SHARES.json,setting=cold_month;field=remaining_share
