quantity,setting,value,lower,upper,unit,family,source_path,source_key,numerator,denominator
Dcomplete,unseen_vehicle,-0.3239534152429951,-0.8062310812988109,0.1583242508128207,percentage points,unseen_vehicle_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=complete,,
Laggregation,unseen_vehicle,1.403927743541199,1.1227598318598593,1.6870506317621756,percentage points,pointwise,data/accounting/ATTENUATION_COMPONENTS.csv,setting=unseen_vehicle;training_loss=absolute_error;column=Laggregation,,
Ltail,unseen_vehicle,0.14040310513243662,-0.041068781684042585,0.3474849265725581,percentage points,pointwise,data/accounting/ATTENUATION_COMPONENTS.csv,setting=unseen_vehicle;training_loss=absolute_error;column=Ltail,,
Ltrip,unseen_vehicle,1.5443308486736356,1.266402491536543,1.854869979781685,percentage points,pointwise,data/accounting/ATTENUATION_COMPONENTS.csv,setting=unseen_vehicle;training_loss=absolute_error;column=Ltrip,,
Pi_complete,unseen_vehicle,58.941605839416056,,,percent,original persistence family,data/accounting/original/SCALE_RESULTS.csv,setting=unseen_vehicle;state=B;H=COMPLETE_TRIP_COMMON8,323.0,548.0
prefix_raw_gain,unseen_vehicle,-997.9406178319186,,,mL,descriptive,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=full_prefix;column=raw_gain_mL,,
prefix_target_volume,unseen_vehicle,543687.7863245372,,,mL,descriptive,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=full_prefix;column=target_volume,,
complete_raw_gain,unseen_vehicle,-2167.1998131198634,,,mL,descriptive,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=complete;column=raw_gain_mL,,
complete_target_volume,unseen_vehicle,668985.0179521221,,,mL,descriptive,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=complete;column=target_volume,,
D1,cold_month,2.48975730067507,1.4908001213965942,3.488714479953546,percentage points,cold_month_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=1,,
D2,cold_month,1.3090160752651452,0.30916044719808067,2.3088717033322097,percentage points,cold_month_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=2,,
D4,cold_month,0.1881049380556258,-0.8905972729065678,1.2668071490178194,percentage points,cold_month_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=4,,
D8,cold_month,0.047940813810363046,-1.0095630223452456,1.1054446499659716,percentage points,cold_month_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=8,,
Dprefix,cold_month,0.09835431348228929,-0.84911333873509,1.0458219656996686,percentage points,cold_month_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=full_prefix,,
Dcomplete,cold_month,-0.13574284283271942,-1.7213637348166537,1.4498780491512149,percentage points,cold_month_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=complete,,
Laggregation,cold_month,2.391402987192781,1.4908436135936858,3.286680230345915,percentage points,pointwise,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_month;training_loss=absolute_error;column=Laggregation,,
Ltail,cold_month,0.23409715631500871,-0.5159156684912809,1.1141969385197614,percentage points,pointwise,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_month;training_loss=absolute_error;column=Ltail,,
Ltrip,cold_month,2.6255001435077894,1.3679610414129302,3.972901877026315,percentage points,pointwise,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_month;training_loss=absolute_error;column=Ltrip,,
Pi_complete,cold_month,61.111111111111114,,,percent,original persistence family,data/accounting/original/SCALE_RESULTS.csv,setting=cold_month;state=B;H=COMPLETE_TRIP_COMMON8,33.0,54.0
prefix_raw_gain,cold_month,38.86348909384287,,,mL,descriptive,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=full_prefix;column=raw_gain_mL,,
prefix_target_volume,cold_month,39513.76174349592,,,mL,descriptive,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=full_prefix;column=target_volume,,
complete_raw_gain,cold_month,-67.69154868725127,,,mL,descriptive,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=complete;column=raw_gain_mL,,
complete_target_volume,cold_month,49867.490082456796,,,mL,descriptive,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=complete;column=target_volume,,
