quantity,setting,field,source_full_precision,manuscript_display,source_path,source_key
D8,cold_month,value,0.047940813810363046,0.048,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=8;source_column=D
D8,cold_month,lower,-1.0095630223452456,−1.010,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=8;source_column=CI_lower
D8,cold_month,upper,1.1054446499659716,1.105,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=8;source_column=CI_upper
Dprefix,cold_trip,value,0.26918561665773577,0.269,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=full_prefix;source_column=D
Dprefix,cold_trip,lower,-0.6123829612239369,−0.612,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=full_prefix;source_column=CI_lower
Dprefix,cold_trip,upper,1.1507541945394084,1.151,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=full_prefix;source_column=CI_upper
Dprefix,unseen_vehicle,value,-0.18355031011055847,−0.184,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=full_prefix;source_column=D
Dprefix,unseen_vehicle,lower,-0.6149165973389876,−0.615,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=full_prefix;source_column=CI_lower
Dprefix,unseen_vehicle,upper,0.24781597711787065,0.248,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=full_prefix;source_column=CI_upper
Dprefix,cold_month,value,0.09835431348228929,0.098,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=full_prefix;source_column=D
Dprefix,cold_month,lower,-0.84911333873509,−0.849,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=full_prefix;source_column=CI_lower
Dprefix,cold_month,upper,1.0458219656996686,1.046,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=full_prefix;source_column=CI_upper
Dcomplete,cold_trip,value,0.14296129846244718,0.143,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=complete;source_column=D
Dcomplete,cold_trip,lower,-0.6273213879890966,−0.627,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=complete;source_column=CI_lower
Dcomplete,cold_trip,upper,0.9132439849139911,0.913,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=complete;source_column=CI_upper
Dcomplete,unseen_vehicle,value,-0.3239534152429951,−0.324,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=complete;source_column=D
Dcomplete,unseen_vehicle,lower,-0.8062310812988109,−0.806,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=complete;source_column=CI_lower
Dcomplete,unseen_vehicle,upper,0.1583242508128207,0.158,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=complete;source_column=CI_upper
Dcomplete,cold_month,value,-0.13574284283271942,−0.136,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=complete;source_column=D
Dcomplete,cold_month,lower,-1.7213637348166537,−1.721,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=complete;source_column=CI_lower
Dcomplete,cold_month,upper,1.4498780491512149,1.450,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=complete;source_column=CI_upper
Laggregation,cold_trip,value,1.3761820047796067,1.376,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_trip;training_loss=absolute_error;column=Laggregation;source_column=Laggregation
Laggregation,cold_trip,lower,0.6261276764449647,0.626,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_trip;training_loss=absolute_error;column=Laggregation;source_column=Laggregation_CI_lower
Laggregation,cold_trip,upper,2.148251451284998,2.148,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_trip;training_loss=absolute_error;column=Laggregation;source_column=Laggregation_CI_upper
Laggregation,unseen_vehicle,value,1.403927743541199,1.404,data/accounting/ATTENUATION_COMPONENTS.csv,setting=unseen_vehicle;training_loss=absolute_error;column=Laggregation;source_column=Laggregation
Laggregation,unseen_vehicle,lower,1.1227598318598593,1.123,data/accounting/ATTENUATION_COMPONENTS.csv,setting=unseen_vehicle;training_loss=absolute_error;column=Laggregation;source_column=Laggregation_CI_lower
Laggregation,unseen_vehicle,upper,1.6870506317621756,1.687,data/accounting/ATTENUATION_COMPONENTS.csv,setting=unseen_vehicle;training_loss=absolute_error;column=Laggregation;source_column=Laggregation_CI_upper
Laggregation,cold_month,value,2.391402987192781,2.391,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_month;training_loss=absolute_error;column=Laggregation;source_column=Laggregation
Laggregation,cold_month,lower,1.4908436135936858,1.491,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_month;training_loss=absolute_error;column=Laggregation;source_column=Laggregation_CI_lower
Laggregation,cold_month,upper,3.286680230345915,3.287,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_month;training_loss=absolute_error;column=Laggregation;source_column=Laggregation_CI_upper
Ltail,cold_trip,value,0.1262243181952886,0.126,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_trip;training_loss=absolute_error;column=Ltail;source_column=Ltail
Ltail,cold_trip,lower,-0.15668251375769132,−0.157,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_trip;training_loss=absolute_error;column=Ltail;source_column=Ltail_CI_lower
Ltail,cold_trip,upper,0.43247741404059353,0.432,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_trip;training_loss=absolute_error;column=Ltail;source_column=Ltail_CI_upper
Ltail,unseen_vehicle,value,0.14040310513243662,0.140,data/accounting/ATTENUATION_COMPONENTS.csv,setting=unseen_vehicle;training_loss=absolute_error;column=Ltail;source_column=Ltail
Ltail,unseen_vehicle,lower,-0.041068781684042585,−0.041,data/accounting/ATTENUATION_COMPONENTS.csv,setting=unseen_vehicle;training_loss=absolute_error;column=Ltail;source_column=Ltail_CI_lower
Ltail,unseen_vehicle,upper,0.3474849265725581,0.347,data/accounting/ATTENUATION_COMPONENTS.csv,setting=unseen_vehicle;training_loss=absolute_error;column=Ltail;source_column=Ltail_CI_upper
Ltail,cold_month,value,0.23409715631500871,0.234,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_month;training_loss=absolute_error;column=Ltail;source_column=Ltail
Ltail,cold_month,lower,-0.5159156684912809,−0.516,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_month;training_loss=absolute_error;column=Ltail;source_column=Ltail_CI_lower
Ltail,cold_month,upper,1.1141969385197614,1.114,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_month;training_loss=absolute_error;column=Ltail;source_column=Ltail_CI_upper
Ltrip,cold_trip,value,1.5024063229748954,1.502,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_trip;training_loss=absolute_error;column=Ltrip;source_column=Ltrip
Ltrip,cold_trip,lower,0.8225129601527749,0.823,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_trip;training_loss=absolute_error;column=Ltrip;source_column=Ltrip_CI_lower
Ltrip,cold_trip,upper,2.1990877753190556,2.199,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_trip;training_loss=absolute_error;column=Ltrip;source_column=Ltrip_CI_upper
Ltrip,unseen_vehicle,value,1.5443308486736356,1.544,data/accounting/ATTENUATION_COMPONENTS.csv,setting=unseen_vehicle;training_loss=absolute_error;column=Ltrip;source_column=Ltrip
Ltrip,unseen_vehicle,lower,1.266402491536543,1.266,data/accounting/ATTENUATION_COMPONENTS.csv,setting=unseen_vehicle;training_loss=absolute_error;column=Ltrip;source_column=Ltrip_CI_lower
Ltrip,unseen_vehicle,upper,1.854869979781685,1.855,data/accounting/ATTENUATION_COMPONENTS.csv,setting=unseen_vehicle;training_loss=absolute_error;column=Ltrip;source_column=Ltrip_CI_upper
Ltrip,cold_month,value,2.6255001435077894,2.626,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_month;training_loss=absolute_error;column=Ltrip;source_column=Ltrip
Ltrip,cold_month,lower,1.3679610414129302,1.368,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_month;training_loss=absolute_error;column=Ltrip;source_column=Ltrip_CI_lower
Ltrip,cold_month,upper,3.972901877026315,3.973,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_month;training_loss=absolute_error;column=Ltrip;source_column=Ltrip_CI_upper
Pi_complete,cold_trip,value,62.7906976744186,62.79,data/accounting/original/SCALE_RESULTS.csv,setting=cold_trip;state=B;H=COMPLETE_TRIP_COMMON8;source_column=Pi_H;conversion=multiply by 100
Pi_complete,cold_trip,numerator,54.0,54,data/accounting/original/SCALE_RESULTS.csv,setting=cold_trip;state=B;H=COMPLETE_TRIP_COMMON8;source_column=n_persist
Pi_complete,cold_trip,denominator,86.0,86,data/accounting/original/SCALE_RESULTS.csv,setting=cold_trip;state=B;H=COMPLETE_TRIP_COMMON8;source_column=n_S_positive
Pi_complete,unseen_vehicle,value,58.941605839416056,58.94,data/accounting/original/SCALE_RESULTS.csv,setting=unseen_vehicle;state=B;H=COMPLETE_TRIP_COMMON8;source_column=Pi_H;conversion=multiply by 100
Pi_complete,unseen_vehicle,numerator,323.0,323,data/accounting/original/SCALE_RESULTS.csv,setting=unseen_vehicle;state=B;H=COMPLETE_TRIP_COMMON8;source_column=n_persist
Pi_complete,unseen_vehicle,denominator,548.0,548,data/accounting/original/SCALE_RESULTS.csv,setting=unseen_vehicle;state=B;H=COMPLETE_TRIP_COMMON8;source_column=n_S_positive
Pi_complete,cold_month,value,61.111111111111114,61.11,data/accounting/original/SCALE_RESULTS.csv,setting=cold_month;state=B;H=COMPLETE_TRIP_COMMON8;source_column=Pi_H;conversion=multiply by 100
Pi_complete,cold_month,numerator,33.0,33,data/accounting/original/SCALE_RESULTS.csv,setting=cold_month;state=B;H=COMPLETE_TRIP_COMMON8;source_column=n_persist
Pi_complete,cold_month,denominator,54.0,54,data/accounting/original/SCALE_RESULTS.csv,setting=cold_month;state=B;H=COMPLETE_TRIP_COMMON8;source_column=n_S_positive
prefix_raw_gain,cold_trip,value,212.1374543822949,212.137,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=full_prefix;column=raw_gain_mL;source_column=raw_gain_mL
prefix_raw_gain,unseen_vehicle,value,-997.9406178319186,−997.941,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=full_prefix;column=raw_gain_mL;source_column=raw_gain_mL
prefix_raw_gain,cold_month,value,38.86348909384287,38.863,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=full_prefix;column=raw_gain_mL;source_column=raw_gain_mL
complete_raw_gain,cold_trip,value,138.4566765494419,138.457,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=complete;column=raw_gain_mL;source_column=raw_gain_mL
complete_raw_gain,unseen_vehicle,value,-2167.1998131198634,−2167.200,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=complete;column=raw_gain_mL;source_column=raw_gain_mL
complete_raw_gain,cold_month,value,-67.69154868725127,−67.692,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=complete;column=raw_gain_mL;source_column=raw_gain_mL
prefix_target_volume,cold_trip,value,78807.1283362898,78807.128,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=full_prefix;column=target_volume;source_column=target_volume
prefix_target_volume,unseen_vehicle,value,543687.7863245372,543687.786,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=full_prefix;column=target_volume;source_column=target_volume
prefix_target_volume,cold_month,value,39513.76174349592,39513.762,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=full_prefix;column=target_volume;source_column=target_volume
complete_target_volume,cold_trip,value,96849.06197589655,96849.062,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=complete;column=target_volume;source_column=target_volume
complete_target_volume,unseen_vehicle,value,668985.0179521221,668985.018,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=complete;column=target_volume;source_column=target_volume
complete_target_volume,cold_month,value,49867.490082456796,49867.490,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=complete;column=target_volume;source_column=target_volume
