feature_name,population,retained_from_training_only
functional_road_class_share_secondary,Motorway-largest-share holdout,true
functional_road_class_share_service,Unseen trip,true
functional_road_class_share_service,October 2018,true
functional_road_class_share_service,Single held-out area,true
functional_road_class_share_service,Motorway-largest-share holdout,true
functional_road_class_share_tertiary,Unseen trip,true
functional_road_class_share_tertiary,October 2018,true
functional_road_class_share_tertiary,Single held-out area,true
functional_road_class_share_tertiary,Motorway-largest-share holdout,true
speed_limit_provenance_share_advisory,Unseen trip,true
speed_limit_provenance_share_advisory,October 2018,true
speed_limit_provenance_share_advisory,Single held-out area,true
speed_limit_provenance_share_advisory,Motorway-largest-share holdout,true
speed_limit_provenance_share_directional,Unseen trip,true
speed_limit_provenance_share_directional,October 2018,true
speed_limit_provenance_share_directional,Single held-out area,true
speed_limit_provenance_share_directional,Motorway-largest-share holdout,true
speed_limit_provenance_share_explicit,Unseen trip,true
speed_limit_provenance_share_explicit,October 2018,true
speed_limit_provenance_share_explicit,Single held-out area,true
speed_limit_provenance_share_explicit,Motorway-largest-share holdout,true
speed_limit_provenance_share_missing,Unseen trip,false
speed_limit_provenance_share_missing,October 2018,false
speed_limit_provenance_share_missing,Single held-out area,false
speed_limit_provenance_share_missing,Motorway-largest-share holdout,false
speed_limit_provenance_share_practical,Unseen trip,true
speed_limit_provenance_share_practical,October 2018,true
speed_limit_provenance_share_practical,Single held-out area,true
speed_limit_provenance_share_practical,Motorway-largest-share holdout,true
r2_lane_count_distance_weighted_mean,Unseen trip,true
r2_lane_count_distance_weighted_mean,October 2018,true
r2_lane_count_distance_weighted_mean,Single held-out area,true
r2_lane_count_distance_weighted_mean,Motorway-largest-share holdout,true
r2_lane_tag_distance_coverage,Unseen trip,true
r2_lane_tag_distance_coverage,October 2018,true
r2_lane_tag_distance_coverage,Single held-out area,true
r2_lane_tag_distance_coverage,Motorway-largest-share holdout,true
r2_surface_osm_paved_distance_share,Unseen trip,true
r2_surface_osm_paved_distance_share,October 2018,true
r2_surface_osm_paved_distance_share,Single held-out area,true
r2_surface_osm_paved_distance_share,Motorway-largest-share holdout,true
r2_surface_osm_unpaved_distance_share,Unseen trip,true
r2_surface_osm_unpaved_distance_share,October 2018,true
r2_surface_osm_unpaved_distance_share,Single held-out area,true
r2_surface_osm_unpaved_distance_share,Motorway-largest-share holdout,true
r2_surface_osm_other_distance_share,Unseen trip,false
r2_surface_osm_other_distance_share,October 2018,false
r2_surface_osm_other_distance_share,Single held-out area,false
r2_surface_osm_other_distance_share,Motorway-largest-share holdout,false
r2_surface_osm_missing_distance_share,Unseen trip,true
r2_surface_osm_missing_distance_share,October 2018,true
r2_surface_osm_missing_distance_share,Single held-out area,true
r2_surface_osm_missing_distance_share,Motorway-largest-share holdout,true
r2_smoothness_good_distance_share,Unseen trip,false
r2_smoothness_good_distance_share,October 2018,false
r2_smoothness_good_distance_share,Single held-out area,false
r2_smoothness_good_distance_share,Motorway-largest-share holdout,false
r2_smoothness_rough_distance_share,Unseen trip,false
r2_smoothness_rough_distance_share,October 2018,false
r2_smoothness_rough_distance_share,Single held-out area,false
r2_smoothness_rough_distance_share,Motorway-largest-share holdout,false
r2_smoothness_very_rough_distance_share,Unseen trip,false
r2_smoothness_very_rough_distance_share,October 2018,false
r2_smoothness_very_rough_distance_share,Single held-out area,false
r2_smoothness_very_rough_distance_share,Motorway-largest-share holdout,false
r2_smoothness_other_distance_share,Unseen trip,false
r2_smoothness_other_distance_share,October 2018,false
r2_smoothness_other_distance_share,Single held-out area,false
r2_smoothness_other_distance_share,Motorway-largest-share holdout,false
r2_smoothness_missing_distance_share,Unseen trip,false
r2_smoothness_missing_distance_share,October 2018,false
r2_smoothness_missing_distance_share,Single held-out area,false
r2_smoothness_missing_distance_share,Motorway-largest-share holdout,false
r2_oneway_True_distance_share,Unseen trip,false
r2_oneway_True_distance_share,October 2018,false
r2_oneway_True_distance_share,Single held-out area,false
r2_oneway_True_distance_share,Motorway-largest-share holdout,false
r2_oneway_False_distance_share,Unseen trip,false
r2_oneway_False_distance_share,October 2018,false
r2_oneway_False_distance_share,Single held-out area,false
r2_oneway_False_distance_share,Motorway-largest-share holdout,false
r2_oneway_reverse_distance_share,Unseen trip,true
r2_oneway_reverse_distance_share,October 2018,true
r2_oneway_reverse_distance_share,Single held-out area,false
r2_oneway_reverse_distance_share,Motorway-largest-share holdout,true
r2_oneway_other_distance_share,Unseen trip,false
r2_oneway_other_distance_share,October 2018,false
r2_oneway_other_distance_share,Single held-out area,false
r2_oneway_other_distance_share,Motorway-largest-share holdout,false
r2_oneway_missing_distance_share,Unseen trip,true
r2_oneway_missing_distance_share,October 2018,true
r2_oneway_missing_distance_share,Single held-out area,true
r2_oneway_missing_distance_share,Motorway-largest-share holdout,true
r2_access_open_distance_share,Unseen trip,true
r2_access_open_distance_share,October 2018,true
r2_access_open_distance_share,Single held-out area,true
r2_access_open_distance_share,Motorway-largest-share holdout,true
r2_access_restricted_distance_share,Unseen trip,true
r2_access_restricted_distance_share,October 2018,true
r2_access_restricted_distance_share,Single held-out area,true
r2_access_restricted_distance_share,Motorway-largest-share holdout,true
r2_access_other_distance_share,Unseen trip,false
r2_access_other_distance_share,October 2018,false
r2_access_other_distance_share,Single held-out area,false
r2_access_other_distance_share,Motorway-largest-share holdout,false
r2_access_missing_distance_share,Unseen trip,true
r2_access_missing_distance_share,October 2018,true
r2_access_missing_distance_share,Single held-out area,true
r2_access_missing_distance_share,Motorway-largest-share holdout,true
r2_motor_vehicle_open_distance_share,Unseen trip,true
r2_motor_vehicle_open_distance_share,October 2018,true
r2_motor_vehicle_open_distance_share,Single held-out area,true
r2_motor_vehicle_open_distance_share,Motorway-largest-share holdout,true
r2_motor_vehicle_restricted_distance_share,Unseen trip,false
r2_motor_vehicle_restricted_distance_share,October 2018,false
r2_motor_vehicle_restricted_distance_share,Single held-out area,false
r2_motor_vehicle_restricted_distance_share,Motorway-largest-share holdout,false
r2_motor_vehicle_other_distance_share,Unseen trip,false
r2_motor_vehicle_other_distance_share,October 2018,false
r2_motor_vehicle_other_distance_share,Single held-out area,false
r2_motor_vehicle_other_distance_share,Motorway-largest-share holdout,false
r2_motor_vehicle_missing_distance_share,Unseen trip,true
r2_motor_vehicle_missing_distance_share,October 2018,true
r2_motor_vehicle_missing_distance_share,Single held-out area,true
r2_motor_vehicle_missing_distance_share,Motorway-largest-share holdout,true
r2_bridge_osm_true_distance_share,Unseen trip,true
r2_bridge_osm_true_distance_share,October 2018,true
r2_bridge_osm_true_distance_share,Single held-out area,true
r2_bridge_osm_true_distance_share,Motorway-largest-share holdout,true
r2_bridge_osm_false_distance_share,Unseen trip,false
r2_bridge_osm_false_distance_share,October 2018,false
r2_bridge_osm_false_distance_share,Single held-out area,false
r2_bridge_osm_false_distance_share,Motorway-largest-share holdout,false
r2_bridge_osm_other_distance_share,Unseen trip,false
r2_bridge_osm_other_distance_share,October 2018,false
r2_bridge_osm_other_distance_share,Single held-out area,false
r2_bridge_osm_other_distance_share,Motorway-largest-share holdout,false
r2_bridge_osm_missing_distance_share,Unseen trip,true
r2_bridge_osm_missing_distance_share,October 2018,true
r2_bridge_osm_missing_distance_share,Single held-out area,true
r2_bridge_osm_missing_distance_share,Motorway-largest-share holdout,true
r2_tunnel_osm_true_distance_share,Unseen trip,true
r2_tunnel_osm_true_distance_share,October 2018,true
r2_tunnel_osm_true_distance_share,Single held-out area,true
r2_tunnel_osm_true_distance_share,Motorway-largest-share holdout,true
r2_tunnel_osm_false_distance_share,Unseen trip,false
r2_tunnel_osm_false_distance_share,October 2018,false
r2_tunnel_osm_false_distance_share,Single held-out area,false
r2_tunnel_osm_false_distance_share,Motorway-largest-share holdout,false
r2_tunnel_osm_other_distance_share,Unseen trip,false
r2_tunnel_osm_other_distance_share,October 2018,false
r2_tunnel_osm_other_distance_share,Single held-out area,false
r2_tunnel_osm_other_distance_share,Motorway-largest-share holdout,false
r2_tunnel_osm_missing_distance_share,Unseen trip,true
r2_tunnel_osm_missing_distance_share,October 2018,true
r2_tunnel_osm_missing_distance_share,Single held-out area,true
r2_tunnel_osm_missing_distance_share,Motorway-largest-share holdout,true
r2_roundabout_osm_true_distance_share,Unseen trip,true
r2_roundabout_osm_true_distance_share,October 2018,true
r2_roundabout_osm_true_distance_share,Single held-out area,true
r2_roundabout_osm_true_distance_share,Motorway-largest-share holdout,true
r2_roundabout_osm_false_distance_share,Unseen trip,false
r2_roundabout_osm_false_distance_share,October 2018,false
r2_roundabout_osm_false_distance_share,Single held-out area,false
r2_roundabout_osm_false_distance_share,Motorway-largest-share holdout,false
r2_roundabout_osm_other_distance_share,Unseen trip,false
r2_roundabout_osm_other_distance_share,October 2018,false
r2_roundabout_osm_other_distance_share,Single held-out area,false
r2_roundabout_osm_other_distance_share,Motorway-largest-share holdout,false
r2_roundabout_osm_missing_distance_share,Unseen trip,true
r2_roundabout_osm_missing_distance_share,October 2018,true
r2_roundabout_osm_missing_distance_share,Single held-out area,true
r2_roundabout_osm_missing_distance_share,Motorway-largest-share holdout,true
nearest_graph_node_degree_time_weighted_mean,Unseen trip,true
nearest_graph_node_degree_time_weighted_mean,October 2018,true
nearest_graph_node_degree_time_weighted_mean,Single held-out area,true
nearest_graph_node_degree_time_weighted_mean,Motorway-largest-share holdout,true
nearest_graph_node_degree_time_weighted_std,Unseen trip,true
nearest_graph_node_degree_time_weighted_std,October 2018,true
nearest_graph_node_degree_time_weighted_std,Single held-out area,true
nearest_graph_node_degree_time_weighted_std,Motorway-largest-share holdout,true
nearest_graph_node_streets_time_weighted_mean,Unseen trip,true
nearest_graph_node_streets_time_weighted_mean,October 2018,true
nearest_graph_node_streets_time_weighted_mean,Single held-out area,true
nearest_graph_node_streets_time_weighted_mean,Motorway-largest-share holdout,true
nearest_graph_node_streets_time_weighted_std,Unseen trip,true
nearest_graph_node_streets_time_weighted_std,October 2018,true
nearest_graph_node_streets_time_weighted_std,Single held-out area,true
nearest_graph_node_streets_time_weighted_std,Motorway-largest-share holdout,true
nearest_graph_node_distance_m_time_weighted_mean,Unseen trip,true
nearest_graph_node_distance_m_time_weighted_mean,October 2018,true
nearest_graph_node_distance_m_time_weighted_mean,Single held-out area,true
nearest_graph_node_distance_m_time_weighted_mean,Motorway-largest-share holdout,true
nearest_graph_node_distance_m_time_weighted_std,Unseen trip,true
nearest_graph_node_distance_m_time_weighted_std,October 2018,true
nearest_graph_node_distance_m_time_weighted_std,Single held-out area,true
nearest_graph_node_distance_m_time_weighted_std,Motorway-largest-share holdout,true
dead_end_exposure_time_weighted_mean,Unseen trip,true
dead_end_exposure_time_weighted_mean,October 2018,true
dead_end_exposure_time_weighted_mean,Single held-out area,true
dead_end_exposure_time_weighted_mean,Motorway-largest-share holdout,true
dead_end_exposure_time_weighted_std,Unseen trip,true
dead_end_exposure_time_weighted_std,October 2018,true
dead_end_exposure_time_weighted_std,Single held-out area,true
dead_end_exposure_time_weighted_std,Motorway-largest-share holdout,true
edge_density_m_per_km2_250m_time_weighted_mean,Unseen trip,true
edge_density_m_per_km2_250m_time_weighted_mean,October 2018,true
edge_density_m_per_km2_250m_time_weighted_mean,Single held-out area,true
edge_density_m_per_km2_250m_time_weighted_mean,Motorway-largest-share holdout,true
edge_density_m_per_km2_250m_time_weighted_std,Unseen trip,true
edge_density_m_per_km2_250m_time_weighted_std,October 2018,true
edge_density_m_per_km2_250m_time_weighted_std,Single held-out area,true
edge_density_m_per_km2_250m_time_weighted_std,Motorway-largest-share holdout,true
orientation_entropy_250m_time_weighted_mean,Unseen trip,true
orientation_entropy_250m_time_weighted_mean,October 2018,true
orientation_entropy_250m_time_weighted_mean,Single held-out area,true
orientation_entropy_250m_time_weighted_mean,Motorway-largest-share holdout,true
orientation_entropy_250m_time_weighted_std,Unseen trip,true
orientation_entropy_250m_time_weighted_std,October 2018,true
orientation_entropy_250m_time_weighted_std,Single held-out area,true
orientation_entropy_250m_time_weighted_std,Motorway-largest-share holdout,true
intersection_exposure_distance_m_100m,Unseen trip,true
intersection_exposure_distance_m_100m,October 2018,true
intersection_exposure_distance_m_100m,Single held-out area,true
intersection_exposure_distance_m_100m,Motorway-largest-share holdout,true
intersection_exposure_distance_m_250m,Unseen trip,true
intersection_exposure_distance_m_250m,October 2018,true
intersection_exposure_distance_m_250m,Single held-out area,true
intersection_exposure_distance_m_250m,Motorway-largest-share holdout,true
intersection_exposure_distance_m_25m,Unseen trip,true
intersection_exposure_distance_m_25m,October 2018,true
intersection_exposure_distance_m_25m,Single held-out area,true
intersection_exposure_distance_m_25m,Motorway-largest-share holdout,true
intersection_exposure_distance_m_50m,Unseen trip,true
intersection_exposure_distance_m_50m,October 2018,true
intersection_exposure_distance_m_50m,Single held-out area,true
intersection_exposure_distance_m_50m,Motorway-largest-share holdout,true
intersection_exposure_time_s_100m,Unseen trip,true
intersection_exposure_time_s_100m,October 2018,true
intersection_exposure_time_s_100m,Single held-out area,true
intersection_exposure_time_s_100m,Motorway-largest-share holdout,true
intersection_exposure_time_s_250m,Unseen trip,true
intersection_exposure_time_s_250m,October 2018,true
intersection_exposure_time_s_250m,Single held-out area,true
intersection_exposure_time_s_250m,Motorway-largest-share holdout,true
intersection_exposure_time_s_25m,Unseen trip,true
intersection_exposure_time_s_25m,October 2018,true
intersection_exposure_time_s_25m,Single held-out area,true
intersection_exposure_time_s_25m,Motorway-largest-share holdout,true
intersection_exposure_time_s_50m,Unseen trip,true
intersection_exposure_time_s_50m,October 2018,true
intersection_exposure_time_s_50m,Single held-out area,true
intersection_exposure_time_s_50m,Motorway-largest-share holdout,true
intersection_pass_event_count_100m,Unseen trip,true
intersection_pass_event_count_100m,October 2018,true
intersection_pass_event_count_100m,Single held-out area,true
intersection_pass_event_count_100m,Motorway-largest-share holdout,true
intersection_pass_event_count_250m,Unseen trip,true
intersection_pass_event_count_250m,October 2018,true
intersection_pass_event_count_250m,Single held-out area,true
intersection_pass_event_count_250m,Motorway-largest-share holdout,true
intersection_pass_event_count_25m,Unseen trip,true
intersection_pass_event_count_25m,October 2018,true
intersection_pass_event_count_25m,Single held-out area,true
intersection_pass_event_count_25m,Motorway-largest-share holdout,true
intersection_pass_event_count_50m,Unseen trip,true
intersection_pass_event_count_50m,October 2018,true
intersection_pass_event_count_50m,Single held-out area,true
intersection_pass_event_count_50m,Motorway-largest-share holdout,true
intersection_unique_object_count_100m,Unseen trip,true
intersection_unique_object_count_100m,October 2018,true
intersection_unique_object_count_100m,Single held-out area,true
intersection_unique_object_count_100m,Motorway-largest-share holdout,true
intersection_unique_object_count_250m,Unseen trip,true
intersection_unique_object_count_250m,October 2018,true
intersection_unique_object_count_250m,Single held-out area,true
intersection_unique_object_count_250m,Motorway-largest-share holdout,true
intersection_unique_object_count_25m,Unseen trip,true
intersection_unique_object_count_25m,October 2018,true
intersection_unique_object_count_25m,Single held-out area,true
intersection_unique_object_count_25m,Motorway-largest-share holdout,true
intersection_unique_object_count_50m,Unseen trip,true
intersection_unique_object_count_50m,October 2018,true
intersection_unique_object_count_50m,Single held-out area,true
intersection_unique_object_count_50m,Motorway-largest-share holdout,true
poi_exposure_distance_m_100m,Unseen trip,true
poi_exposure_distance_m_100m,October 2018,true
poi_exposure_distance_m_100m,Single held-out area,true
poi_exposure_distance_m_100m,Motorway-largest-share holdout,true
poi_exposure_distance_m_250m,Unseen trip,true
poi_exposure_distance_m_250m,October 2018,true
poi_exposure_distance_m_250m,Single held-out area,true
poi_exposure_distance_m_250m,Motorway-largest-share holdout,true
poi_exposure_distance_m_25m,Unseen trip,true
poi_exposure_distance_m_25m,October 2018,true
poi_exposure_distance_m_25m,Single held-out area,true
poi_exposure_distance_m_25m,Motorway-largest-share holdout,true
poi_exposure_distance_m_50m,Unseen trip,true
poi_exposure_distance_m_50m,October 2018,true
poi_exposure_distance_m_50m,Single held-out area,true
poi_exposure_distance_m_50m,Motorway-largest-share holdout,true
poi_exposure_time_s_100m,Unseen trip,true
poi_exposure_time_s_100m,October 2018,true
poi_exposure_time_s_100m,Single held-out area,true
poi_exposure_time_s_100m,Motorway-largest-share holdout,true
poi_exposure_time_s_250m,Unseen trip,true
poi_exposure_time_s_250m,October 2018,true
poi_exposure_time_s_250m,Single held-out area,true
poi_exposure_time_s_250m,Motorway-largest-share holdout,true
poi_exposure_time_s_25m,Unseen trip,true
poi_exposure_time_s_25m,October 2018,true
poi_exposure_time_s_25m,Single held-out area,true
poi_exposure_time_s_25m,Motorway-largest-share holdout,true
poi_exposure_time_s_50m,Unseen trip,true
poi_exposure_time_s_50m,October 2018,true
poi_exposure_time_s_50m,Single held-out area,true
poi_exposure_time_s_50m,Motorway-largest-share holdout,true
poi_pass_event_count_100m,Unseen trip,true
poi_pass_event_count_100m,October 2018,true
poi_pass_event_count_100m,Single held-out area,true
poi_pass_event_count_100m,Motorway-largest-share holdout,true
poi_pass_event_count_250m,Unseen trip,true
poi_pass_event_count_250m,October 2018,true
poi_pass_event_count_250m,Single held-out area,true
poi_pass_event_count_250m,Motorway-largest-share holdout,true
poi_pass_event_count_25m,Unseen trip,true
poi_pass_event_count_25m,October 2018,true
poi_pass_event_count_25m,Single held-out area,true
poi_pass_event_count_25m,Motorway-largest-share holdout,true
poi_pass_event_count_50m,Unseen trip,true
poi_pass_event_count_50m,October 2018,true
poi_pass_event_count_50m,Single held-out area,true
poi_pass_event_count_50m,Motorway-largest-share holdout,true
poi_primary_type_diversity_100m,Unseen trip,true
poi_primary_type_diversity_100m,October 2018,true
poi_primary_type_diversity_100m,Single held-out area,true
poi_primary_type_diversity_100m,Motorway-largest-share holdout,true
poi_primary_type_diversity_250m,Unseen trip,true
poi_primary_type_diversity_250m,October 2018,true
poi_primary_type_diversity_250m,Single held-out area,true
poi_primary_type_diversity_250m,Motorway-largest-share holdout,true
poi_primary_type_diversity_25m,Unseen trip,true
poi_primary_type_diversity_25m,October 2018,true
poi_primary_type_diversity_25m,Single held-out area,true
poi_primary_type_diversity_25m,Motorway-largest-share holdout,true
poi_primary_type_diversity_50m,Unseen trip,true
poi_primary_type_diversity_50m,October 2018,true
poi_primary_type_diversity_50m,Single held-out area,true
poi_primary_type_diversity_50m,Motorway-largest-share holdout,true
poi_unique_object_count_100m,Unseen trip,true
poi_unique_object_count_100m,October 2018,true
poi_unique_object_count_100m,Single held-out area,true
poi_unique_object_count_100m,Motorway-largest-share holdout,true
poi_unique_object_count_250m,Unseen trip,true
poi_unique_object_count_250m,October 2018,true
poi_unique_object_count_250m,Single held-out area,true
poi_unique_object_count_250m,Motorway-largest-share holdout,true
poi_unique_object_count_25m,Unseen trip,true
poi_unique_object_count_25m,October 2018,true
poi_unique_object_count_25m,Single held-out area,true
poi_unique_object_count_25m,Motorway-largest-share holdout,true
poi_unique_object_count_50m,Unseen trip,true
poi_unique_object_count_50m,October 2018,true
poi_unique_object_count_50m,Single held-out area,true
poi_unique_object_count_50m,Motorway-largest-share holdout,true
public_transport_exposure_distance_m_100m,Unseen trip,true
public_transport_exposure_distance_m_100m,October 2018,true
public_transport_exposure_distance_m_100m,Single held-out area,true
public_transport_exposure_distance_m_100m,Motorway-largest-share holdout,true
public_transport_exposure_distance_m_250m,Unseen trip,true
public_transport_exposure_distance_m_250m,October 2018,true
public_transport_exposure_distance_m_250m,Single held-out area,true
public_transport_exposure_distance_m_250m,Motorway-largest-share holdout,true
public_transport_exposure_distance_m_25m,Unseen trip,true
public_transport_exposure_distance_m_25m,October 2018,true
public_transport_exposure_distance_m_25m,Single held-out area,true
public_transport_exposure_distance_m_25m,Motorway-largest-share holdout,true
public_transport_exposure_distance_m_50m,Unseen trip,true
public_transport_exposure_distance_m_50m,October 2018,true
public_transport_exposure_distance_m_50m,Single held-out area,true
public_transport_exposure_distance_m_50m,Motorway-largest-share holdout,true
public_transport_exposure_time_s_100m,Unseen trip,true
public_transport_exposure_time_s_100m,October 2018,true
public_transport_exposure_time_s_100m,Single held-out area,true
public_transport_exposure_time_s_100m,Motorway-largest-share holdout,true
public_transport_exposure_time_s_250m,Unseen trip,true
public_transport_exposure_time_s_250m,October 2018,true
public_transport_exposure_time_s_250m,Single held-out area,true
public_transport_exposure_time_s_250m,Motorway-largest-share holdout,true
public_transport_exposure_time_s_25m,Unseen trip,true
public_transport_exposure_time_s_25m,October 2018,true
public_transport_exposure_time_s_25m,Single held-out area,true
public_transport_exposure_time_s_25m,Motorway-largest-share holdout,true
public_transport_exposure_time_s_50m,Unseen trip,true
public_transport_exposure_time_s_50m,October 2018,true
public_transport_exposure_time_s_50m,Single held-out area,true
public_transport_exposure_time_s_50m,Motorway-largest-share holdout,true
public_transport_pass_event_count_100m,Unseen trip,true
public_transport_pass_event_count_100m,October 2018,true
public_transport_pass_event_count_100m,Single held-out area,true
public_transport_pass_event_count_100m,Motorway-largest-share holdout,true
public_transport_pass_event_count_250m,Unseen trip,true
public_transport_pass_event_count_250m,October 2018,true
public_transport_pass_event_count_250m,Single held-out area,true
public_transport_pass_event_count_250m,Motorway-largest-share holdout,true
public_transport_pass_event_count_25m,Unseen trip,true
public_transport_pass_event_count_25m,October 2018,true
public_transport_pass_event_count_25m,Single held-out area,true
public_transport_pass_event_count_25m,Motorway-largest-share holdout,true
public_transport_pass_event_count_50m,Unseen trip,true
public_transport_pass_event_count_50m,October 2018,true
public_transport_pass_event_count_50m,Single held-out area,true
public_transport_pass_event_count_50m,Motorway-largest-share holdout,true
public_transport_unique_object_count_100m,Unseen trip,true
public_transport_unique_object_count_100m,October 2018,true
public_transport_unique_object_count_100m,Single held-out area,true
public_transport_unique_object_count_100m,Motorway-largest-share holdout,true
public_transport_unique_object_count_250m,Unseen trip,true
public_transport_unique_object_count_250m,October 2018,true
public_transport_unique_object_count_250m,Single held-out area,true
public_transport_unique_object_count_250m,Motorway-largest-share holdout,true
public_transport_unique_object_count_25m,Unseen trip,true
public_transport_unique_object_count_25m,October 2018,true
public_transport_unique_object_count_25m,Single held-out area,true
public_transport_unique_object_count_25m,Motorway-largest-share holdout,true
public_transport_unique_object_count_50m,Unseen trip,true
public_transport_unique_object_count_50m,October 2018,true
public_transport_unique_object_count_50m,Single held-out area,true
public_transport_unique_object_count_50m,Motorway-largest-share holdout,true
traffic_control_exposure_distance_m_100m,Unseen trip,true
traffic_control_exposure_distance_m_100m,October 2018,true
traffic_control_exposure_distance_m_100m,Single held-out area,true
traffic_control_exposure_distance_m_100m,Motorway-largest-share holdout,true
traffic_control_exposure_distance_m_250m,Unseen trip,true
traffic_control_exposure_distance_m_250m,October 2018,true
traffic_control_exposure_distance_m_250m,Single held-out area,true
traffic_control_exposure_distance_m_250m,Motorway-largest-share holdout,true
traffic_control_exposure_distance_m_25m,Unseen trip,true
traffic_control_exposure_distance_m_25m,October 2018,true
traffic_control_exposure_distance_m_25m,Single held-out area,true
traffic_control_exposure_distance_m_25m,Motorway-largest-share holdout,true
traffic_control_exposure_distance_m_50m,Unseen trip,true
traffic_control_exposure_distance_m_50m,October 2018,true
traffic_control_exposure_distance_m_50m,Single held-out area,true
traffic_control_exposure_distance_m_50m,Motorway-largest-share holdout,true
traffic_control_exposure_time_s_100m,Unseen trip,true
traffic_control_exposure_time_s_100m,October 2018,true
traffic_control_exposure_time_s_100m,Single held-out area,true
traffic_control_exposure_time_s_100m,Motorway-largest-share holdout,true
traffic_control_exposure_time_s_250m,Unseen trip,true
traffic_control_exposure_time_s_250m,October 2018,true
traffic_control_exposure_time_s_250m,Single held-out area,true
traffic_control_exposure_time_s_250m,Motorway-largest-share holdout,true
traffic_control_exposure_time_s_25m,Unseen trip,true
traffic_control_exposure_time_s_25m,October 2018,true
traffic_control_exposure_time_s_25m,Single held-out area,true
traffic_control_exposure_time_s_25m,Motorway-largest-share holdout,true
traffic_control_exposure_time_s_50m,Unseen trip,true
traffic_control_exposure_time_s_50m,October 2018,true
traffic_control_exposure_time_s_50m,Single held-out area,true
traffic_control_exposure_time_s_50m,Motorway-largest-share holdout,true
traffic_control_pass_event_count_100m,Unseen trip,true
traffic_control_pass_event_count_100m,October 2018,true
traffic_control_pass_event_count_100m,Single held-out area,true
traffic_control_pass_event_count_100m,Motorway-largest-share holdout,true
traffic_control_pass_event_count_250m,Unseen trip,true
traffic_control_pass_event_count_250m,October 2018,true
traffic_control_pass_event_count_250m,Single held-out area,true
traffic_control_pass_event_count_250m,Motorway-largest-share holdout,true
traffic_control_pass_event_count_25m,Unseen trip,true
traffic_control_pass_event_count_25m,October 2018,true
traffic_control_pass_event_count_25m,Single held-out area,true
traffic_control_pass_event_count_25m,Motorway-largest-share holdout,true
traffic_control_pass_event_count_50m,Unseen trip,true
traffic_control_pass_event_count_50m,October 2018,true
traffic_control_pass_event_count_50m,Single held-out area,true
traffic_control_pass_event_count_50m,Motorway-largest-share holdout,true
traffic_control_unique_object_count_100m,Unseen trip,true
traffic_control_unique_object_count_100m,October 2018,true
traffic_control_unique_object_count_100m,Single held-out area,true
traffic_control_unique_object_count_100m,Motorway-largest-share holdout,true
traffic_control_unique_object_count_250m,Unseen trip,true
traffic_control_unique_object_count_250m,October 2018,true
traffic_control_unique_object_count_250m,Single held-out area,true
traffic_control_unique_object_count_250m,Motorway-largest-share holdout,true
traffic_control_unique_object_count_25m,Unseen trip,true
traffic_control_unique_object_count_25m,October 2018,true
traffic_control_unique_object_count_25m,Single held-out area,true
traffic_control_unique_object_count_25m,Motorway-largest-share holdout,true
traffic_control_unique_object_count_50m,Unseen trip,true
traffic_control_unique_object_count_50m,October 2018,true
traffic_control_unique_object_count_50m,Single held-out area,true
traffic_control_unique_object_count_50m,Motorway-largest-share holdout,true
building_coverage_ratio_100m_time_weighted_mean,Unseen trip,true
building_coverage_ratio_100m_time_weighted_mean,October 2018,true
building_coverage_ratio_100m_time_weighted_mean,Single held-out area,true
