statistic,setting,task,family,interval_method,replicate_count,cluster_unit,interval_type,estimate,lower,upper,unit,max_T_critical,bootstrap_sd,seed
A_K,cold_month,fuel,F_cold_month,max-T,2000,VehId,simultaneous,0.90651605363127,0.5958419099402192,1.2171901973223207,mL/segment,2.424230903817816,0.12815369328135515,3089379780
A_Z_given_K,cold_month,fuel,F_cold_month,max-T,2000,VehId,simultaneous,0.20484428659642973,0.010817054708079699,0.39887151848477975,mL/segment,2.424230903817816,0.08003661350195024,3089379780
A_K_given_Z,cold_month,fuel,secondary_cold_month,cluster-bootstrap percentile,2000,VehId,pointwise,0.27850963390568495,0.07476719057958454,0.4814620960663779,mL/segment,,,3089379780
G_B,cold_spatial,fuel,boundary_cold_spatial,cluster-bootstrap percentile,2000,VehId,pointwise,-0.08586325398260364,-0.3176402366210923,0.1618997698002213,mL/segment,,,3170558495
G_BK,cold_spatial,fuel,boundary_cold_spatial,cluster-bootstrap percentile,2000,VehId,pointwise,-0.2731538097556854,-0.5476628024836988,0.001041641253089186,mL/segment,,,3170558495
G_BZ,cold_spatial,fuel,boundary_cold_spatial,cluster-bootstrap percentile,2000,VehId,pointwise,-0.5968637924243492,-1.1319805865893018,-0.07200105003935606,mL/segment,,,3170558495
G_BKZ,cold_spatial,fuel,boundary_cold_spatial,cluster-bootstrap percentile,2000,VehId,pointwise,-0.32063124046095837,-0.556878648655489,-0.06970278339250204,mL/segment,,,3170558495
A_K,cold_spatial,fuel,boundary_cold_spatial,cluster-bootstrap percentile,2000,VehId,pointwise,0.18729055577308173,0.02367080571124931,0.33548523594771756,mL/segment,,,3170558495
A_Z_given_K,cold_spatial,fuel,boundary_cold_spatial,cluster-bootstrap percentile,2000,VehId,pointwise,0.047477430705272994,-0.06042858572681093,0.16484052092064988,mL/segment,,,3170558495
A_K_given_Z,cold_spatial,fuel,boundary_cold_spatial,cluster-bootstrap percentile,2000,VehId,pointwise,-0.2762325519633908,-0.6293392442960464,0.0741880077368158,mL/segment,,,3170558495
G_B,cold_functional_road_class,fuel,boundary_cold_functional_road_class,cluster-bootstrap percentile,2000,VehId,pointwise,-2.5225966972035394,-3.027925811926257,-2.037612872026662,mL/segment,,,3650743292
G_BK,cold_functional_road_class,fuel,boundary_cold_functional_road_class,cluster-bootstrap percentile,2000,VehId,pointwise,-3.2643321465676323,-3.7022161358605543,-2.7620303400087782,mL/segment,,,3650743292
G_BZ,cold_functional_road_class,fuel,boundary_cold_functional_road_class,cluster-bootstrap percentile,2000,VehId,pointwise,-3.171289695826289,-3.763395428729751,-2.619225890500291,mL/segment,,,3650743292
G_BKZ,cold_functional_road_class,fuel,boundary_cold_functional_road_class,cluster-bootstrap percentile,2000,VehId,pointwise,-3.104137077484168,-3.797805265137833,-2.336218643386438,mL/segment,,,3650743292
A_K,cold_functional_road_class,fuel,boundary_cold_functional_road_class,cluster-bootstrap percentile,2000,VehId,pointwise,0.7417354493640929,0.23694964715868244,1.1800117006733433,mL/segment,,,3650743292
A_Z_given_K,cold_functional_road_class,fuel,boundary_cold_functional_road_class,cluster-bootstrap percentile,2000,VehId,pointwise,-0.16019506908346415,-0.7713184205021661,0.48736930050936933,mL/segment,,,3650743292
A_K_given_Z,cold_functional_road_class,fuel,boundary_cold_functional_road_class,cluster-bootstrap percentile,2000,VehId,pointwise,-0.06715261834212072,-0.605408782061897,0.3292335270695135,mL/segment,,,3650743292
G_Kplus,cold_trip,kplus,kplus_three_core,cluster-bootstrap percentile,2000,VehId,Bonferroni,5.553758965759094,4.95128581755216,6.2668298352203005,J/kg,,,2401213563
G_Kplus,unseen_vehicle,kplus,kplus_three_core,cluster-bootstrap percentile,2000,VehId,Bonferroni,4.7896658022785985,4.415145476959587,5.1715271737699595,J/kg,,,3636502587
G_Kplus,cold_month,kplus,kplus_three_core,cluster-bootstrap percentile,2000,VehId,Bonferroni,5.944757097167432,4.858787833854416,7.132929809935872,J/kg,,,1266475083
G_Kplus,cold_spatial,kplus,kplus_boundary_cold_spatial,cluster-bootstrap percentile,2000,VehId,pointwise,-0.35101637635200333,-0.652661455043534,-0.027881802902186358,J/kg,,,3310893908
G_Kplus,cold_functional_road_class,kplus,kplus_boundary_cold_functional_road_class,cluster-bootstrap percentile,2000,VehId,pointwise,-5.376469679347949,-7.642130928907395,-3.1566913230795013,J/kg,,,3673875553
G_RPM_given_K,cold_trip,rpm,rpm_three_core,cluster-bootstrap percentile,2000,VehId,Bonferroni,3.3679609182120913,1.6830495294389958,5.590912613731847,rpm,,,2386361203
G_RPM_given_K,unseen_vehicle,rpm,rpm_three_core,cluster-bootstrap percentile,2000,VehId,Bonferroni,-0.4664834748905662,-2.0481183941264067,1.0001521824163917,rpm,,,3950224765
G_RPM_given_K,cold_month,rpm,rpm_three_core,cluster-bootstrap percentile,2000,VehId,Bonferroni,3.795585111957891,-0.3959514380082469,10.70962939549952,rpm,,,610232594
G_RPM_given_K,cold_spatial,rpm,rpm_boundary_cold_spatial,cluster-bootstrap percentile,2000,VehId,pointwise,-3.432150875346082,-6.6187339131727105,-0.25478137880875185,rpm,,,1382571312
G_RPM_given_K,cold_functional_road_class,rpm,rpm_boundary_cold_functional_road_class,cluster-bootstrap percentile,2000,VehId,pointwise,-27.458895486455845,-33.25735019936344,-21.36290659184894,rpm,,,1702889348
