setting,training_loss,scale,n_blocks,n_trips,n_vehicles,n_segments,target_volume,target_unit,baseline_error,road_error,baseline_raw_error_mL,road_raw_error_mL,raw_gain_mL,D,CI_lower,CI_upper,CI_method,family,bootstrap_sd,critical
unseen_vehicle,absolute_error,full_prefix,858,858,145,8264,543687.7863245372,mL,16.432248659487694,16.615798969598252,89340.12898011209,90338.069597944,-997.9406178319186,-0.18355031011055847,-0.6149165973389876,0.24781597711787065,six-endpoint simultaneous max-T,unseen_vehicle_absolute_error_D_six,0.1811685319458921,2.3810221487982317
unseen_vehicle,absolute_error,complete,858,858,145,10414,668985.0179521221,mL,16.11256172635043,16.43651514159343,107790.62395757221,109957.82377069208,-2167.1998131198634,-0.3239534152429951,-0.8062310812988109,0.1583242508128207,six-endpoint simultaneous max-T,unseen_vehicle_absolute_error_D_six,0.20255068450297062,2.3810221487982317
cold_month,absolute_error,1,632,64,41,632,39513.76174349592,mL,23.821635954788263,21.331878654113197,9412.824474577994,8429.027706797951,983.7967677800425,2.48975730067507,1.4908001213965942,3.488714479953546,six-endpoint simultaneous max-T,cold_month_absolute_error_D_six,0.38951573469800593,2.5646131601152744
cold_month,absolute_error,2,316,64,41,632,39513.76174349592,mL,18.434979476889307,17.125963401624162,7284.353867960411,6767.11237479608,517.2414931643307,1.3090160752651452,0.30916044719808067,2.3088717033322097,six-endpoint simultaneous max-T,cold_month_absolute_error_D_six,0.3898660599644287,2.5646131601152744
cold_month,absolute_error,4,158,64,41,632,39513.76174349592,mL,14.752463343144125,14.564358405088498,5829.253216706542,5754.925879655491,74.32733705105056,0.1881049380556258,-0.8905972729065678,1.2668071490178194,six-endpoint simultaneous max-T,cold_month_absolute_error_D_six,0.420610105156642,2.5646131601152744
cold_month,absolute_error,8,79,64,41,632,39513.76174349592,mL,13.34376386421001,13.295823050399646,5272.623060918647,5253.679841971727,18.943218946919842,0.047940813810363046,-1.0095630223452456,1.1054446499659716,six-endpoint simultaneous max-T,cold_month_absolute_error_D_six,0.41234438495514697,2.5646131601152744
cold_month,absolute_error,full_prefix,64,64,41,632,39513.76174349592,mL,12.590345861481875,12.491991547999586,4974.919266388047,4936.055777294204,38.86348909384287,0.09835431348228929,-0.84911333873509,1.0458219656996686,six-endpoint simultaneous max-T,cold_month_absolute_error_D_six,0.3694388171098648,2.5646131601152744
cold_month,absolute_error,complete,64,64,41,816,49867.490082456796,mL,12.200252665163948,12.335995507996667,6083.959787835302,6151.651336522554,-67.69154868725127,-0.13574284283271942,-1.7213637348166537,1.4498780491512149,six-endpoint simultaneous max-T,cold_month_absolute_error_D_six,0.6182690304500597,2.5646131601152744
cold_trip,squared_error,1,1208,134,78,1208,78807.1283362898,mL,25.79281825900787,23.794910777034364,20326.57938692232,18752.085873563123,1574.493513359197,1.997907481973506,1.081716078759814,2.9140988851871983,six-endpoint simultaneous max-T,cold_trip_squared_error_D_six,0.36800555251247724,2.489612988061175
cold_trip,squared_error,2,604,134,78,1208,78807.1283362898,mL,21.49063819691277,20.36645634745742,16936.15482412876,16050.219391295206,885.9354328335539,1.1241818494553502,0.23411149328544145,2.014252205625259,six-endpoint simultaneous max-T,cold_trip_squared_error_D_six,0.3575135414372436,2.489612988061175
cold_trip,squared_error,4,302,134,78,1208,78807.1283362898,mL,18.6616677461418,18.203162346622605,14706.724450393967,14345.389511766056,361.33493862791147,0.45850539951919655,-0.5663032286490082,1.4833140276874013,six-endpoint simultaneous max-T,cold_trip_squared_error_D_six,0.4116337089670674,2.489612988061175
cold_trip,squared_error,8,151,134,78,1208,78807.1283362898,mL,17.023290770381102,16.901480423985888,13415.566604474012,13319.571368463454,95.99523601055807,0.12181034639521733,-0.933150093333259,1.1767707861236938,six-endpoint simultaneous max-T,cold_trip_squared_error_D_six,0.42374475261315353,2.489612988061175
cold_trip,squared_error,full_prefix,134,134,78,1208,78807.1283362898,mL,16.795389678028343,16.72454635788566,13235.964298143766,13180.134711921233,55.82958622253318,0.07084332014268345,-0.9876262036056365,1.1293128438910034,six-endpoint simultaneous max-T,cold_trip_squared_error_D_six,0.4251542423758882,2.489612988061175
cold_trip,squared_error,complete,134,134,78,1524,96849.06197589655,mL,16.573192529172406,16.77587947642684,16050.98150396284,16247.28191112634,-196.3004071635005,-0.202686947254435,-1.2277735091630178,0.8223996146541477,six-endpoint simultaneous max-T,cold_trip_squared_error_D_six,0.41174534629451987,2.489612988061175
unseen_vehicle,squared_error,1,8264,858,145,8264,543687.7863245372,mL,25.934441865039414,24.258544023859066,141002.39287165683,131890.74099788268,9111.651873774157,1.6758978411803507,1.1725693887360318,2.1792262936246694,six-endpoint simultaneous max-T,unseen_vehicle_squared_error_D_six,0.20842326336073638,2.4149341312882346
unseen_vehicle,squared_error,2,4132,858,145,8264,543687.7863245372,mL,21.839912780207573,20.882080171841974,118740.93832992025,113533.31942480276,5207.618905117488,0.9578326083655968,0.43553420540502785,1.4801310113261659,six-endpoint simultaneous max-T,unseen_vehicle_squared_error_D_six,0.21627852958538105,2.4149341312882346
unseen_vehicle,squared_error,4,2066,858,145,8264,543687.7863245372,mL,18.88363956430263,18.633703946448822,102668.04192466145,101309.17249671555,1358.8694279459014,0.24993561785380392,-0.34148236775281215,0.84135360346042,six-endpoint simultaneous max-T,unseen_vehicle_squared_error_D_six,0.2449002554331066,2.4149341312882346
unseen_vehicle,squared_error,8,1033,858,145,8264,543687.7863245372,mL,17.16197815895295,17.473821843799275,93307.57914191189,95003.0351688457,-1695.4560269338108,-0.31184368484631764,-0.9748847134106677,0.35119734371803246,six-endpoint simultaneous max-T,unseen_vehicle_squared_error_D_six,0.2745586390841452,2.4149341312882346
unseen_vehicle,squared_error,full_prefix,858,858,145,8264,543687.7863245372,mL,16.928700574891646,17.226118798641355,92039.27740913759,93656.30396596815,-1617.0265568305622,-0.2974182237497109,-0.9680589431557873,0.3732224956563655,six-endpoint simultaneous max-T,unseen_vehicle_squared_error_D_six,0.277705594830583,2.4149341312882346
unseen_vehicle,squared_error,complete,858,858,145,10414,668985.0179521221,mL,17.01962677163503,17.424428378114513,113858.75321360679,116566.81531338402,-2708.062099777235,-0.404801606479481,-1.1117313593280396,0.30212814636907753,six-endpoint simultaneous max-T,unseen_vehicle_squared_error_D_six,0.29273251957039936,2.4149341312882346
cold_month,squared_error,1,632,64,41,632,39513.76174349592,mL,24.523435862345195,21.747790394787323,9690.132017966114,8593.370081071153,1096.7619368949618,2.775645467557874,1.4437985986773376,4.10749233643841,six-endpoint simultaneous max-T,cold_month_squared_error_D_six,0.523131283109146,2.5459132571176406
cold_month,squared_error,2,316,64,41,632,39513.76174349592,mL,19.41650788359136,17.745026552342868,7672.192664029392,7011.727513212848,660.4651508165443,1.6714813312484955,0.2562570566253717,3.0867056058716194,six-endpoint simultaneous max-T,cold_month_squared_error_D_six,0.5558807907797189,2.5459132571176406
cold_month,squared_error,4,158,64,41,632,39513.76174349592,mL,15.176335849558281,14.919881938328299,5996.741188987216,5895.406601521924,101.33458746529232,0.2564539112299838,-1.1090796937441454,1.6219875162041129,six-endpoint simultaneous max-T,cold_month_squared_error_D_six,0.5363629735445582,2.5459132571176406
cold_month,squared_error,8,79,64,41,632,39513.76174349592,mL,13.722183210622543,14.032733717341404,5422.15077985139,5544.8609671695,-122.71018731811,-0.310550506718861,-1.9362477219405239,1.315146708502802,six-endpoint simultaneous max-T,cold_month_squared_error_D_six,0.6385516909017546,2.5459132571176406
cold_month,squared_error,full_prefix,64,64,41,632,39513.76174349592,mL,13.445727048394744,13.376463368430409,5312.912550583485,5285.543865107601,27.368685475884377,0.0692636799643338,-1.6217178174056528,1.7602451773343204,six-endpoint simultaneous max-T,cold_month_squared_error_D_six,0.664194466422801,2.5459132571176406
cold_month,squared_error,complete,64,64,41,816,49867.490082456796,mL,14.31782685904992,13.875053115828283,7139.940888960054,6919.140736471281,220.80015248877226,0.44277374322163643,-0.818228287055016,1.7037757734982888,six-endpoint simultaneous max-T,cold_month_squared_error_D_six,0.4953043968608333,2.5459132571176406
